date,store_1,store_2,store_3,store_4
2024-04-12,21,4,29,21
2024-04-13,25,2,9,18
2024-04-14,24,15,0,17
2024-04-15,28,15,0,9
2024-04-16,22,18,13,14
2024-04-17,31,17,13,13
2024-04-18,24,31,37,7
2024-04-19,19,24,10,22
2024-04-20,21,15,2,14
2024-04-21,18,15,1,11
2024-04-22,32,25,0,6
2024-04-23,29,16,0,15
2024-04-24,23,31,31,4
2024-04-25,14,37,18,12
2024-04-26,66,6,22,17
2024-04-27,7,17,35,11
2024-04-28,0,14,2,16
2024-04-29,10,8,0,21
2024-04-30,25,16,0,23
2024-05-01,24,18,0,14
2024-05-02,36,39,3,26
2024-05-03,32,17,1,20
2024-05-04,28,18,0,19
2024-05-05,21,11,0,18
2024-05-06,15,12,0,18
2024-05-07,26,17,0,9
2024-05-08,30,25,0,28
2024-05-09,32,24,0,15
2024-05-10,24,25,0,20
2024-05-11,28,17,0,20
2024-05-12,32,19,0,4
2024-05-13,31,30,14,8
2024-05-14,31,33,35,1
2024-05-15,29,21,41,1
2024-05-16,46,35,29,14
2024-05-17,35,26,3,24
2024-05-18,23,23,0,15
2024-05-19,28,1,0,8
2024-05-20,43,13,0,9
2024-05-21,39,40,0,15
2024-05-22,24,14,29,17
2024-05-23,31,25,16,16
2024-05-24,44,40,21,25
2024-05-25,45,18,19,37
2024-05-26,26,23,0,20
2024-05-27,43,22,0,28
2024-05-28,40,57,0,14
2024-05-29,45,26,1,16
2024-05-30,35,34,45,19
2024-05-31,53,27,12,23
2024-06-01,36,15,8,32
2024-06-02,39,19,18,19
2024-06-03,32,24,0,17
2024-06-04,24,21,10,24
2024-06-05,41,30,21,11
2024-06-06,43,20,23,20
2024-06-07,38,27,0,25
2024-06-08,26,14,0,15
2024-06-09,26,12,14,12
2024-06-10,22,18,47,22
2024-06-11,37,17,7,18
2024-06-12,23,16,0,7
2024-06-13,25,31,43,18
2024-06-14,66,33,3,18
2024-06-15,33,21,0,13
2024-06-16,29,15,3,10
2024-06-17,31,43,6,22
2024-06-18,21,29,26,12
2024-06-19,30,19,16,33
2024-06-20,20,28,9,38
2024-06-21,34,65,5,23
2024-06-22,32,0,0,19
2024-06-23,40,2,0,14
2024-06-24,34,0,1,18
2024-06-25,53,15,2,17
2024-06-26,48,32,2,25
2024-06-27,56,51,7,36
2024-06-28,39,31,2,32
2024-06-29,42,21,0,24
2024-06-30,38,29,0,21
2024-07-01,31,29,22,19
2024-07-02,42,35,41,36
2024-07-03,36,43,15,25
2024-07-04,39,35,43,21
2024-07-05,46,32,58,34
2024-07-06,22,34,7,22
2024-07-07,38,12,10,31
2024-07-08,22,29,46,39
2024-07-09,61,15,4,37
2024-07-10,51,25,33,27
2024-07-11,44,44,46,32
2024-07-12,38,46,26,30
2024-07-13,54,21,34,34
2024-07-14,51,19,41,18
2024-07-15,38,30,31,9
2024-07-16,41,32,33,33
2024-07-17,53,39,61,55
2024-07-18,31,46,36,35
2024-07-19,40,40,54,39
2024-07-20,36,23,3,38
2024-07-21,56,11,0,40
2024-07-22,50,27,34,35
2024-07-23,35,41,24,35
2024-07-24,39,58,44,60
2024-07-25,65,40,27,34
2024-07-26,65,43,52,36
2024-07-27,38,20,0,44
2024-07-28,29,23,20,34
2024-07-29,50,43,31,29
2024-07-30,51,41,46,26
2024-07-31,46,42,54,29
2024-08-01,22,41,41,55
2024-08-02,81,39,43,56
2024-08-03,44,32,25,28
2024-08-04,21,24,19,23
2024-08-05,27,44,16,32
2024-08-06,46,32,54,42
2024-08-07,19,37,68,24
2024-08-08,60,39,8,37
2024-08-09,66,51,72,44
2024-08-10,41,7,7,37
2024-08-11,37,12,20,48
2024-08-12,41,58,59,42
2024-08-13,41,35,47,26
2024-08-14,65,20,26,29
2024-08-15,0,22,47,36
2024-08-16,64,40,69,36
2024-08-17,53,29,7,45
2024-08-18,47,36,10,35
2024-08-19,62,36,12,33
2024-08-20,59,39,21,23
2024-08-21,58,31,23,32
2024-08-22,66,44,90,41
2024-08-23,70,49,60,45
2024-08-24,56,29,11,57
2024-08-25,36,16,6,35
2024-08-26,85,65,34,38
2024-08-27,85,40,24,50
2024-08-28,59,37,84,31
2024-08-29,24,50,57,46
2024-08-30,38,33,54,45
2024-08-31,30,25,16,28
2024-09-01,61,21,24,51
2024-09-02,74,51,68,38
2024-09-03,40,46,21,62
2024-09-04,65,60,8,51
2024-09-05,68,43,37,41
2024-09-06,64,33,26,61
2024-09-07,57,37,35,33
2024-09-08,41,25,44,27
2024-09-09,55,43,21,50
2024-09-10,57,56,57,53
2024-09-11,49,36,9,40
2024-09-12,64,37,34,36
2024-09-13,90,55,58,48
2024-09-14,21,28,24,50
2024-09-15,0,39,28,27
2024-09-16,38,52,9,36
2024-09-17,43,17,70,28
2024-09-18,57,42,14,59
2024-09-19,55,47,53,38
2024-09-20,50,58,10,36
2024-09-21,55,23,9,27
2024-09-22,33,19,27,45
2024-09-23,57,50,56,44
2024-09-24,52,50,5,35
2024-09-25,46,40,9,24
2024-09-26,67,26,12,53
